base_items,add_items,support,confidence,lift
50,6,0.0864,0.5524296675191815,2.7844237274152297
6,50,0.0864,0.43548387096774194,2.7844237274152297
107,6,0.063,0.5440414507772021,2.742144409159285
6,107,0.063,0.3175403225806452,2.742144409159285
3,1,0.0562,0.7533512064343163,6.03646800027497
1,3,0.0562,0.45032051282051283,6.03646800027497
27,6,0.0562,0.5281954887218046,2.6622756487994175
6,27,0.0562,0.28326612903225806,2.6622756487994175
6,1,0.0552,0.2782258064516129,2.2293734491315136
1,6,0.0552,0.4423076923076923,2.2293734491315136
2,1,0.0506,0.7228571428571429,5.792124542124542
1,2,0.0506,0.40544871794871795,5.792124542124542
96,50,0.0438,0.4630021141649049,2.9603715739444043
50,96,0.0438,0.28005115089514065,2.9603715739444043
96,6,0.0438,0.4630021141649049,2.3336800109118188
6,96,0.0438,0.22076612903225806,2.3336800109118188
3,2,0.0436,0.5844504021447721,8.34929145921103
2,3,0.0436,0.6228571428571429,8.34929145921103
107,27,0.0434,0.3747841105354059,3.5224070539041907
27,107,0.0434,0.40789473684210525,3.5224070539041907
8,6,0.0412,0.5770308123249299,2.908421433089365
6,8,0.0412,0.20766129032258066,2.908421433089365
"1, 2",3,0.0384,0.758893280632411,10.17283218005913
3,"1, 2",0.0384,0.514745308310992,10.17283218005913
"1, 3",2,0.0384,0.6832740213523132,9.761057447890188
2,"1, 3",0.0384,0.5485714285714286,9.761057447890188
"2, 3",1,0.0384,0.8807339449541285,7.057163020465772
1,"2, 3",0.0384,0.3076923076923077,7.057163020465772
50,1,0.0374,0.2391304347826087,1.916109253065775
1,50,0.0374,0.29967948717948717,1.916109253065775
182,168,0.0334,0.6398467432950191,7.581122550888852
168,182,0.0334,0.3957345971563981,7.581122550888852
50,27,0.033,0.21099744245524296,1.9830586696921333
27,50,0.033,0.3101503759398496,1.9830586696921333
40,27,0.0324,0.648,6.090225563909774
27,40,0.0324,0.30451127819548873,6.090225563909774
"6, 96",50,0.0316,0.7214611872146118,4.6129231919092835
50,"6, 96",0.0316,0.2020460358056266,4.6129231919092835
"6, 50",96,0.0316,0.36574074074074076,3.8661811917625872
96,"6, 50",0.0316,0.33403805496828753,3.8661811917625872
"50, 96",6,0.0316,0.7214611872146118,3.6363971129768746
50,8,0.0314,0.20076726342711,2.8118664345533606
8,50,0.0314,0.43977591036414565,2.8118664345533606
168,142,0.0302,0.3578199052132701,7.916369584364384
142,168,0.0302,0.668141592920354,7.916369584364384
123,6,0.0302,0.4402332361516035,2.2189175209254213
5,4,0.0294,0.6125,11.300738007380074
4,5,0.0294,0.5424354243542435,11.300738007380074
107,50,0.029,0.2504317789291883,1.601226207987137
10,50,0.0284,0.4329268292682927,2.7680743559353758
"6, 27",107,0.028,0.498220640569395,4.302423493690803
107,"6, 27",0.028,0.24179620034542315,4.302423493690803
"6, 107",27,0.028,0.4444444444444444,4.177109440267335
27,"6, 107",0.028,0.2631578947368421,4.177109440267335
"1, 50",6,0.028,0.7486631016042781,3.7735035363118854
"27, 107",6,0.028,0.6451612903225806,3.251821019771072
"1, 6",50,0.028,0.5072463768115942,3.24326327884651
"6, 50",1,0.028,0.32407407407407407,2.596747388414055
1,"6, 50",0.028,0.22435897435897437,2.596747388414055
10,6,0.028,0.4268292682926829,2.1513571990558615
117,6,0.028,0.4229607250755287,2.1318584933242377
148,6,0.0276,0.3511450381679389,1.7698842649593696
148,50,0.0272,0.3460559796437659,2.2126341409447945
168,141,0.0268,0.3175355450236967,6.106452788917244
141,168,0.0268,0.5153846153846153,6.106452788917244
102,96,0.0268,0.49814126394052044,5.265763889434677
96,102,0.0268,0.2832980972515856,5.265763889434677
17,6,0.0266,0.44039735099337746,2.2197447126682333
142,141,0.0262,0.5796460176991151,11.14703880190606
141,142,0.0262,0.5038461538461538,11.14703880190606
107,1,0.0248,0.2141623488773748,1.7160444621584516
168,6,0.0248,0.2938388625592417,1.481042654028436
118,117,0.0242,0.4859437751004016,7.340540409371625
117,118,0.0242,0.36555891238670696,7.340540409371625
117,107,0.0242,0.36555891238670696,3.1568127149111134
107,117,0.0242,0.20898100172711573,3.1568127149111134
27,17,0.0238,0.2236842105263158,3.7033809689787383
17,27,0.0238,0.39403973509933776,3.7033809689787383
17,50,0.0238,0.39403973509933776,2.5194356464152032
117,27,0.0226,0.3413897280966767,3.2085500760965857
27,117,0.0226,0.212406015037594,3.2085500760965857
"6, 50",8,0.022,0.25462962962962965,3.56624131133935
8,"6, 50",0.022,0.3081232492997199,3.56624131133935
"8, 50",6,0.022,0.7006369426751592,3.5314362029997945
"6, 8",50,0.022,0.5339805825242718,3.4141980979812776
5,1,0.0218,0.45416666666666666,3.639155982905983
13,12,0.0216,0.46153846153846156,12.01923076923077
12,13,0.0216,0.5625,12.01923076923077
136,134,0.0216,0.43373493975903615,10.57890096973259
134,136,0.0216,0.526829268292683,10.57890096973259
4,2,0.0214,0.3948339483394834,5.640484976278334
2,4,0.0214,0.3057142857142857,5.640484976278334
168,50,0.0214,0.25355450236966826,1.6211924703942981
74,50,0.0212,0.4344262295081967,2.7776613139910276
2,6,0.0206,0.29428571428571426,1.483294930875576
10,27,0.0202,0.3079268292682927,2.89404914725839
117,50,0.0202,0.30513595166163143,1.95099713338639
10,8,0.02,0.3048780487804878,4.270000683200109
8,10,0.02,0.2801120448179272,4.270000683200109
"27, 50",6,0.0196,0.593939393939394,2.9936461388074287
"6, 27",50,0.0196,0.3487544483985765,2.2298877774845045
"6, 50",27,0.0196,0.22685185185185186,2.1320662768031187
5,2,0.0194,0.4041666666666667,5.773809523809524
2,5,0.0194,0.27714285714285714,5.773809523809524
182,142,0.0192,0.367816091954023,8.137524158274845
142,182,0.0192,0.4247787610619469,8.137524158274845
"1, 107",6,0.0192,0.7741935483870968,3.902185223725286
"1, 6",107,0.0192,0.34782608695652173,3.0036795073965603
"6, 107",1,0.0192,0.3047619047619048,2.4420024420024418
102,50,0.0188,0.34944237918215615,2.234286311906369
4,1,0.0186,0.34317343173431736,2.749787113255748
8,27,0.0184,0.25770308123249297,2.4220214401550093
106,102,0.018,0.5357142857142857,9.957514604354753
102,106,0.018,0.3345724907063197,9.957514604354753
"6, 117",107,0.018,0.6428571428571429,5.551443375277572
"6, 107",117,0.018,0.2857142857142857,4.315925766076823
117,"6, 107",0.018,0.2719033232628399,4.315925766076823
"107, 117",6,0.018,0.743801652892562,3.7490002665955746
"50, 107",6,0.018,0.6206896551724138,3.1284760845383754
"6, 107",50,0.018,0.2857142857142857,1.8268176835951773
"6, 50",107,0.018,0.20833333333333334,1.7990788716177317
123,50,0.018,0.26239067055393583,1.677689709424142
"168, 182",142,0.0178,0.5329341317365269,11.79057813576387
142,"168, 182",0.0178,0.3938053097345133,11.79057813576387
"142, 168",182,0.0178,0.5894039735099338,11.291263860343559
182,"142, 168",0.0178,0.34099616858237547,11.291263860343559
"142, 182",168,0.0178,0.9270833333333334,10.984399684044233
168,"142, 182",0.0178,0.2109004739336493,10.984399684044233
49,50,0.0178,0.4238095238095238,2.709779563999513
15,14,0.0174,0.54375,14.014175257731956
14,15,0.0174,0.4484536082474227,14.014175257731956
182,141,0.0174,0.3333333333333333,6.41025641025641
141,182,0.0174,0.3346153846153846,6.41025641025641
"6, 168",50,0.0174,0.7016129032258065,4.486016005280092
"50, 168",6,0.0174,0.8130841121495327,4.098206210431112
"6, 50",168,0.0174,0.2013888888888889,2.3861242759347023
168,"6, 50",0.0174,0.20616113744075829,2.3861242759347023
"141, 168",142,0.0172,0.6417910447761194,14.198916919825649
142,"141, 168",0.0172,0.3805309734513274,14.198916919825649
"142, 168",141,0.0172,0.5695364238410596,10.952623535404992
141,"142, 168",0.0172,0.33076923076923076,10.952623535404992
14,13,0.0172,0.44329896907216493,9.472200193849678
13,14,0.0172,0.36752136752136755,9.472200193849678
"141, 142",168,0.0172,0.6564885496183206,7.77830035092797
168,"141, 142",0.0172,0.2037914691943128,7.77830035092797
"107, 117",27,0.017,0.7024793388429752,6.602249425215933
"27, 117",107,0.017,0.7522123893805309,6.495789200177297
"27, 107",117,0.017,0.391705069124424,5.916995001879516
117,"27, 107",0.017,0.256797583081571,5.916995001879516
5,3,0.0168,0.35,4.6916890080428955
3,5,0.0168,0.225201072386059,4.6916890080428955
17,10,0.0168,0.2781456953642384,4.240025843967049
10,17,0.0168,0.25609756097560976,4.240025843967049
74,96,0.0168,0.3442622950819672,3.6391363116487017
40,6,0.0168,0.336,1.693548387096774
40,50,0.0162,0.324,2.071611253196931
"6, 117",27,0.016,0.5714285714285714,5.370569280343717
"6, 27",117,0.016,0.2846975088967972,4.300566599649503
117,"6, 27",0.016,0.24169184290030213,4.300566599649503
"6, 148",50,0.016,0.5797101449275363,3.7065866043960116
"27, 117",6,0.016,0.7079646017699115,3.5683699685983443
"50, 148",6,0.016,0.5882352941176471,2.9648956356736242
92,50,0.016,0.37735849056603776,2.4127780726728756
148,"6, 50",0.016,0.2035623409669211,2.3560456130430687
"1, 5",3,0.0158,0.7247706422018348,9.715424158201541
3,"1, 5",0.0158,0.21179624664879357,9.715424158201541
"3, 5",1,0.0158,0.9404761904761905,7.535866910866912
"1, 3",5,0.0158,0.28113879003558717,5.8570581257414
5,"1, 3",0.0158,0.32916666666666666,5.8570581257414
123,96,0.0156,0.22740524781341107,2.4038609705434575
3,6,0.0156,0.20911528150134048,1.0540084753091759
"2, 4",5,0.0152,0.7102803738317757,14.797507788161994
5,"2, 4",0.0152,0.31666666666666665,14.797507788161994
"2, 5",4,0.0152,0.7835051546391752,14.455814661239396
4,"2, 5",0.0152,0.28044280442804426,14.455814661239396
"4, 5",2,0.0152,0.5170068027210885,7.385811467444121
2,"4, 5",0.0152,0.21714285714285714,7.385811467444121
123,26,0.0152,0.22157434402332363,7.240991634749138
26,123,0.0152,0.49673202614379086,7.240991634749138
"2, 6",1,0.0152,0.7378640776699029,5.912372417226786
"1, 6",2,0.0152,0.2753623188405797,3.9337474120082816
2,"1, 6",0.0152,0.21714285714285714,3.9337474120082816
